Hour,Rr,Rs,R1,R3,LoadT,ReactiveLoadT,LoadTPercent,s_demand,load
1,210,0,0,0,1275.605679,1623.47,0.300287754,688,3900.863262
2,198,0,0,0,1562.09268,1530.7,0.265232756,872,3795.698268
3,174,0,0,0,2237.237894,1345.16,0.231397127,1052,3694.191381
4,120,0,0,0,1345.09402,927.7,0.195987087,1228,3587.961261
5,150,0,0,0,2119.575859,1159.62,0.168808411,1400,3506.425233
6,180,0,0,0,1829.621716,1391.54,0.144356582,1568,3433.069746
7,210,0,0,0,1478.158698,1623.47,0.119098949,1732,3357.296847
8,234,0,0,0,2266.981399,1809.01,0.093203495,1892,3279.610485
9,246,0,0,0,1033.327747,1901.78,0.074066874,2048,3222.200622
10,264,0,0,0,1154.237848,2040.93,0.056023219,2200,3168.069657
11,267,0,0,0,2406.238067,2064.12,0.039383267,2348,3118.149801
12,252,0,0,0,1206.053011,1948.16,0.023938398,2492,3071.815194
13,240,0,0,0,1965.030116,1855.39,0.0119506,2632,3035.8518
14,228,0,0,0,1533.084363,1762.62,0.001294477,2768,3003.883431
15,264,0,0,0,1222.839396,2040.93,0.01374749,2900,3041.24247
16,270,0,0,0,1124.63656,2087.31,0.006826477,3028,3020.479431
17,255,0,0,0,1786.210822,1971.35,0.0081251,3152,3024.3753
18,267,0,0,0,1492.546601,2064.12,0.005314023,3272,3015.942069
19,282,0,0,0,1593.235509,2180.08,0.009321724,3388,3027.965172
20,294,0,0,0,1031.703736,2272.85,0.012830327,3500,3038.490981
21,300,0,0,0,1129.224196,2319.24,0.036601214,3608,3109.803642
22,270,0,0,0,2493.075236,2087.31,0.03952744,3712,3118.58232
23,261,0,0,0,1925.732668,2017.74,0.050779446,3812,3152.338338
24,246,0,0,0,1296.113392,1901.78,0.057140471,3908,3171.421413
25,246,0,0,0,1111.531542,1902.78,0.069530342,4000,3208.591026
26,246,0,0,0,1952.301881,1903.78,0.066957145,4088,3200.871435
27,246,0,0,0,1694.201365,1904.78,0.095747668,4172,3287.243004
28,246,0,0,0,1646.472856,1905.78,0.125034444,4252,3375.103332
29,246,0,0,0,2068.029718,1906.78,0.170631956,4328,3511.895868
30,246,0,0,0,1471.579455,1907.78,0.203761884,4400,3611.285652
31,246,0,0,0,1208.812396,1908.78,0.224025707,4468,3672.077121
32,246,0,0,0,1390.262727,1909.78,0.211422953,4532,3634.268859
33,246,0,0,0,1437.275259,1910.78,0.215279254,4392,3645.837762
34,246,0,0,0,1988.103697,1911.78,0.231804768,4248,3695.414304
35,246,0,0,0,2495.122601,1912.78,0.254667022,4100,3764.001066
36,246,0,0,0,2966.003486,1913.78,0.278508278,3948,3835.524834
37,246,0,0,0,1453.972007,1914.78,0.298557678,3792,3895.673034
38,246,0,0,0,1948.591946,1915.78,0.321158359,3632,3963.475077
39,246,0,0,0,2825.793908,1916.78,0.342072442,3568,4026.217326
40,246,0,0,0,1762.746263,1917.78,0.361325633,3400,4083.976899
41,246,0,0,0,1796.14339,1918.78,0.383324271,3328,4149.972813
42,246,0,0,0,1895.053417,1919.78,0.408777728,3312,4226.333184
43,246,0,0,0,2330.737742,1920.78,0.439431719,3272,4318.295157
44,246,0,0,0,1510.171987,1921.78,0.467392625,3188,4402.177875
45,246,0,0,0,1923.628772,1922.78,0.501472175,3100,4504.416525
46,246,0,0,0,1476.575856,1923.78,0.537564697,3008,4612.694091
47,246,0,0,0,3590.749922,1924.78,0.567279964,2912,4701.839892
48,246,0,0,0,3043.047535,1925.78,0.592106619,2812,4776.319857
49,246,0,0,0,3644.587814,1926.78,0.622783592,3008,4868.350776
50,246,0,0,0,1581.207225,1927.78,0.645171272,3010,4935.513816
51,246,0,0,0,1511.23558,1928.78,0.672553828,3288,5017.661484
52,246,0,0,0,2299.760696,1929.78,0.689140826,3372,5067.422478
53,246,0,0,0,1747.508632,1930.78,0.712576218,3552,5137.728654
54,246,0,0,0,2825.718421,1931.78,0.727139227,3628,5181.417681
55,246,0,0,0,2070.175319,1932.78,0.753808855,3800,5261.426565
56,246,0,0,0,1707.453557,1933.78,0.768745506,3968,5306.236518
57,246,0,0,0,2099.550221,1934.78,0.78979843,4032,5369.39529
58,246,0,0,0,2264.400662,1935.78,0.807497468,4192,5422.492404
59,246,0,0,0,1579.830976,1936.78,0.815244306,4248,5445.732918
60,246,0,0,0,1789.139194,1937.78,0.822212942,4300,5466.638826
61,246,0,0,0,4082.807893,1938.78,0.82923394,4448,5487.70182
62,246,0,0,0,3034.258504,1939.78,0.839118851,4592,5517.356553
63,246,0,0,0,3855.044309,1940.78,0.851889116,4632,5555.667348
64,246,0,0,0,3478.888135,1941.78,0.865323027,4768,5595.969081
65,246,0,0,0,2582.084666,1942.78,0.884493647,4800,5653.480941
66,246,0,0,0,1932.307549,1943.78,0.901688731,4928,5705.066193
67,246,0,0,0,2258.216413,1944.78,0.921001984,4952,5763.005952
68,246,0,0,0,1839.649795,1945.78,0.945717755,4972,5837.153265
69,246,0,0,0,4600.430654,1946.78,0.955746957,5088,5867.240871
70,246,0,0,0,2388.668245,1947.78,0.974665127,5100,5923.995381
71,246,0,0,0,1850.106079,1948.78,0.987461099,5208,5962.383297
72,246,0,0,0,2260.678517,1949.78,0.996568518,5212,5989.705554
73,246,0,0,0,1742.991365,1950.78,0.981886687,4912,5945.660061
74,246,0,0,0,2551.672414,1951.78,0.975404827,4608,5926.214481
75,246,0,0,0,2520.08422,1952.78,0.95918223,4500,5877.54669
76,246,0,0,0,1707.784307,1953.78,0.950067703,4388,5850.203109
77,246,0,0,0,2312.842267,1954.78,0.915643655,4272,5746.930965
78,246,0,0,0,3484.732162,1955.78,0.883246439,4152,5649.739317
79,246,0,0,0,1694.331695,1956.78,0.852971302,4028,5558.913906
80,246,0,0,0,1803.205798,1957.78,0.82409193,3900,5472.27579
81,246,0,0,0,3670.901594,1958.78,0.804868829,3768,5414.606487
82,246,0,0,0,1587.853921,1959.78,0.794957737,3632,5384.873211
83,246,0,0,0,2138.142661,1960.78,0.783091248,3492,5349.273744
84,246,0,0,0,2246.375336,1961.78,0.755335288,3348,5266.005864
85,246,0,0,0,3436.984199,1962.78,0.712004976,3200,5136.014928
86,246,0,0,0,2689.625686,1963.78,0.67081546,3048,5012.44638
87,246,0,0,0,1537.724874,1964.78,0.634997068,2892,4904.991204
88,246,0,0,0,2660.152208,1965.78,0.585431423,2732,4756.294269
89,246,0,0,0,2055.801506,1966.78,0.525881238,2568,4577.643714
90,246,0,0,0,1831.49672,1967.78,0.479223693,2400,4437.671079
91,246,0,0,0,1697.173225,1968.78,0.430632193,2228,4291.896579
92,246,0,0,0,1324.628957,1969.78,0.379544854,2052,4138.634562
93,246,0,0,0,1691.336521,1970.78,0.332260625,1872,3996.781875
94,246,0,0,0,1265.43895,1971.78,0.292732593,1688,3878.197779
95,246,0,0,0,2271.430541,1972.78,0.252064682,1500,3756.194046
96,246,0,0,0,1532.401123,1973.78,0.213965467,1308,3641.896401
